fileid,mentid,lemma,fp,wh_context,actual,chain,comment
004_-2,u-MENTION-jmuzerelle_1354109354185,où,rel,,,,
004_-3,u-MENTION-jmuzerelle_1354199301276,qui,rel,,,,
005_C-2,u-MENTION-jmuzerelle_1358850837382,que,rel,,,,
005_C-2,u-MENTION-jmuzerelle_1358872789946,qui,,q,domain,0,notnew
005_C-3,u-MENTION-jmuzerelle_1358966824288,que,rel,,,,
006_C-3,u-MENTION-jmuzerelle_1353488186604,qui,,q,rhet,0,notnew
007_C-3,u-MENTION-gpascault_1359222055710,lequel,,q,domain,sta,
008_C-3,u-MENTION-jmuzerelle_1366030962320,lequel,,q,domain,sta,
009_C-1,u-MENTION-jmuzerelle_1364224402893,que,rel,,,,
009_C-2,u-MENTION-jmuzerelle_1364294511256,que,rel,,,,
010_C-2,u-MENTION-jmuzerelle_1354715714110,que,rel,,,,
010_C-2,u-MENTION-jmuzerelle_1354800832823,qui,rel,,,,
010_C-5,u-MENTION-jmuzerelle_1355407708151,que,rel,,,,
013_C-1,u-MENTION-jmuzerelle_1366970306590,où,rel,,,,
013_C-1,u-MENTION-jmuzerelle_1366979180998,où,rel,,,,
014_C-3,u-MENTION-jmuzerelle_1350655177410,que,rel,,,,
014_C-3,u-MENTION-jmuzerelle_1350661388040,qui,rel,,,,
015_C-2,u-MENTION-jmuzerelle_1368017142863,que,rel,,,,
018_C-1,u-MENTION-jmuzerelle_1366104872553,où,rel,,,,
021_C-5,u-MENTION-jmuzerelle_1356104131584,lequel,,q,sta;spec:dem;cest,/,
024_00000019,u-MENTION-jmuzerelle_1378215237960,où,rel,,,,
025_C-1,u-MENTION-jmuzerelle_1353077829627,où,rel,,,,
025_C-3,u-MENTION-agoudjo_1341315530268,lequel,,q,domain,0,notnew
029_C-1,u-MENTION-jmuzerelle_1363344665831,où,rel,,,,
029_C-1,u-MENTION-jmuzerelle_1363353050327,où,rel,,,,
029_C-1,u-MENTION-jmuzerelle_1363355779561,qui,rel,,,,
079_C-2,u-MENTION-jmuzerelle_1350135541843,qui,,q,sta,/,
079_C-2,u-MENTION-jmuzerelle_1350138831981,qui,,q,pta:q;sta,/,
107_C-1,u-MENTION-jmuzerelle_1359384328533,où,rel,,,,
107_C-1,u-MENTION-jmuzerelle_1359392195842,qui,rel,,,,
131_C-1,u-MENTION-jmuzerelle_1360333831095,qui,rel,,,,
132_C-1,u-MENTION-jmuzerelle_1360056409218,que,rel,,,,
217_C,u-MENTION-jmuzerelle_1349356684148,où,rel,,,,
2AP0259,u-MENTION-jmuzerelle_1371041887348,qui,rel,,,,
542_C-1,u-MENTION-jmuzerelle_1362064562301,que,rel,,,,
542_C-2,u-MENTION-jmuzerelle_1362150793382,que,rel,,,,
542_C-2,u-MENTION-jmuzerelle_1362152277285,qui,rel,,,,
CO2_ESLO_002_C,u-MENTION-jmuzerelle_1301343967051,où,rel,,,,
CO2_ESLO_002_C,u-MENTION-aboyer_1299066255179,où,rel,,,,
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1295977572194,que,rel,,,,
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1296479995430,qui,,q,domain,0,
